id	name	formula	inchi	solubility	vendor	vendor_id	hmdb_id	chebi_id	lipidmaps_id	cas_id	pubchem_id	lot_num	location	purchase_date	Average Molecular weight (g/mol)	Exact mass	m/z_Neg mode	m/z_Pos Mode	Adducts Na	Adducts NH4	Class	Retention time	Date of Prep	Protocol ID	Comments	Sample weight for stock (mg) 
96	1,2-Dipalmitoyl-sn-glycerol	C35H68O5		Methanol/IPA		D9135					644078															
141	Palmitic acid	C16H32O2		Methanol/IPA		EC10A					985															
136	Dodecanoic acid	C12H24O2		Methanol/IPA		EC10A					3893															
142	Stearic acid 	C18H36O2		Methanol/IPA		EC10A					5281															
134	Behenic acid 	C22H44O2		Methanol/IPA		EC10A					8215															
137	Hexanoic acid	C6H12O2		Methanol/IPA		EC10A					8892															
133	Arachidic acid	C20H40O2		Methanol/IPA		EC10A					10467															
139	Myristic acid	C14H28O2		Methanol/IPA		EC10A					11005															
138	Lignoceric acid	C24H48O2		Methanol/IPA		EC10A					11197															
135	Decanoic acid	C10H20O2		Methanol/IPA		EC10A					4225619															
140	Octanoic acid	C8H16O2		Methanol/IPA		EC10A					11953814															
31	Fructose	C6H12O6		Water		F0127-5G					439709															
60	Folic acid	C19H19N7O6		less water souble		F7876					6037															
32	Galactose	C6H12O6		Water		G0750-5G					439357															
73	Glycocholic acid	C26H43NO6		Methanol/IPA		G2878					23617285															
44	Guanosine	C10H13N5O5		less water souble		G6752					6802															
45	Guanosine 5_-diphosphate 	C10H15N5O11P2		Water/Methanol		G7127					8977															
33	Glucose	C6H12O6		Water		G8270-5G					5793															
53	Guanosine monophosphate 	C10H12N5O8P		Water/Methanol		G8377					6804															
42	Guanosine triphosphate 	C10H16N5O14P3 		Water		G8877					6830															
83	Hyodeoxycholic acid	C24H40O4		Methanol/IPA		H3878 					9963687															
76	Isocitric acid 	C6H8O8		Methanol/IPA		I1252					1198															
16	Isoleucine	C6H13NO2		Water/acidic		I2752					6306															
8	Myo-Inositol	C6H12O6		Water/acidic		I5125-50G					892															
231	NAD	C21H27N7O14P2		Methano/water	IROA	MSMLS_1A1					5893															
240	PYRIMIDINE	C4H4N2		Methano/water	IROA	MSMLS_1A10					9260															
241	D-ASPARTATE	C4H7NO4		Methano/water	IROA	MSMLS_1A11					83887															
242	URATE	C5H4N4O3		Methano/water	IROA	MSMLS_1A12					1175															
232	L-GLUTAMINE	C5H10N2O3		Methano/water	IROA	MSMLS_1A2					5961															
233	HYPOTAURINE	C2H7NO2S		Methano/water	IROA	MSMLS_1A3					107812															
234	INOSINE 5'-PHOSPHATE	C10H13N4O8P		Methano/water	IROA	MSMLS_1A4					8582															
235	CITRATE	C6H8O7		Methano/water	IROA	MSMLS_1A5					311															
236	L-THREONINE	C4H9NO3		Methano/water	IROA	MSMLS_1A6					6288															
237	PURINE	C5H4N4		Methano/water	IROA	MSMLS_1A7					1044															
238	N-ACETYLNEURAMINATE	C11H19NO9		Methano/water	IROA	MSMLS_1A8					439197															
239	L-KYNURENINE	C10H12N2O3		Methano/water	IROA	MSMLS_1A9					161166															
243	CYTIDINE	C9H13N3O5		Methano/water	IROA	MSMLS_1B1					6175															
252	CYTOSINE	C4H5N3O		Methano/water	IROA	MSMLS_1B10					597															
253	L-ISOLEUCINE	C6H13NO2		Methano/water	IROA	MSMLS_1B11					6306															
254	PYRAZOLE	C3H3N2		Methano/water	IROA	MSMLS_1B12					1048															
244	L-SERINE	C3H7NO3		Methano/water	IROA	MSMLS_1B2					5951															
245	L-CYSTEINE	C3H7NO2S		Methano/water	IROA	MSMLS_1B3					5862															
246	CITRULLINE	C6H13N3O3		Methano/water	IROA	MSMLS_1B4					9750															
247	TAURINE	C2H7NO3S		Methano/water	IROA	MSMLS_1B5					1123															
248	D-GLUCONO-1,5-LACTONE	C6H10O6		Methano/water	IROA	MSMLS_1B6					7027															
249	NICOTINATE	C6H5NO2		Methano/water	IROA	MSMLS_1B7					938															
250	INOSINE	C10H12N4O5		Methano/water	IROA	MSMLS_1B8					6021															
251	4-AMINOBUTANOATE	C4H9NO2		Methano/water	IROA	MSMLS_1B9					119															
255	L-GLUTAMIC ACID	C5H9NO4		Methano/water	IROA	MSMLS_1C1					33032															
264	MALONATE	C3H4O4		Methano/water	IROA	MSMLS_1C10					867															
265	PIPECOLATE	C6H11NO2		Methano/water	IROA	MSMLS_1C11					439227															
266	FORMAMIDE	CH3NO		Methano/water	IROA	MSMLS_1C12					713															
256	ASCORBATE	C6H8O6		Methano/water	IROA	MSMLS_1C2					54670067															
257	BETA-ALANINE	C3H7NO2		Methano/water	IROA	MSMLS_1C3					239															
258	N-ACETYL-D-GLUCOSAMINE	C8H15NO6		Methano/water	IROA	MSMLS_1C4					439174															
259	GLYCOLATE	C2H4O3		Methano/water	IROA	MSMLS_1C5					757															
260	SARCOSINE	C3H7NO2		Methano/water	IROA	MSMLS_1C6					1088															
261	GLUCONIC ACID	C6H12O7		Methano/water	IROA	MSMLS_1C7					10690															
262	QUINATE	C7H12O6		Methano/water	IROA	MSMLS_1C8					6508															
263	(S)-DIHYDROOROTATE	C5H6N2O4		Methano/water	IROA	MSMLS_1C9					439216															
